Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
SİİRT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),SİİRT,31546,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ERZİNCAN,31593,SOZ
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KIRŞEHİR,31835,SOZ
ADIYAMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ADIYAMAN,31946,SOZ
KİLİS 7 ARALIK ÜNİVERSİTESİ Muallim Rıfat Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KİLİS,32236,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),NEVŞEHİR,32257,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Eğitim Fakültesi (Demirci) Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),MANİSA,32534,SOZ
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tiyatro Eleştirmenliği ve Dramaturji (4 Yıllık),İSTANBUL,32710,SOZ
GİRESUN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),GİRESUN,32801,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ERZURUM,33181,SOZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KARAMAN,33344,SOZ
MARMARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",İSTANBUL,33403,SOZ
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),TOKAT,33716,SOZ
SİNOP ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),SİNOP,33751,SOZ
KAFKAS ÜNİVERSİTESİ Dede Korkut Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KARS,33917,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (Arapça) (M.T.O.K.) (4 Yıllık),İSTANBUL,34041,SOZ
ORDU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ORDU,34108,SOZ
SİVAS CUMHURİYET ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),SİVAS,34238,SOZ
KASTAMONU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KASTAMONU,34292,SOZ
ARTVİN ÇORUH ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ARTVİN,34309,SOZ
KIRIKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KIRIKKALE,34311,SOZ
AFYON KOCATEPE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),AFYONKARAHİSAR,34381,SOZ
YOZGAT BOZOK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),YOZGAT,34617,SOZ
GAZİANTEP ÜNİVERSİTESİ Nizip Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),GAZİANTEP,34982,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),İSTANBUL,35152,SOZ
BAYBURT ÜNİVERSİTESİ Bayburt Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),BAYBURT,35307,SOZ
DÜZCE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),DÜZCE,35384,SOZ
UŞAK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),UŞAK,35517,SOZ
NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),NİĞDE,35852,SOZ
AKSARAY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),AKSARAY,36190,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KONYA,36620,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BURDUR,36752,SOZ
AMASYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),AMASYA,36828,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ZONGULDAK,37129,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),İSTANBUL,37269,SOZ
MUŞ ALPARSLAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),MUŞ,37292,SOZ
EGE ÜNİVERSİTESİ Güzel Sanatlar Tasarım ve Mimarlık Fakültesi Akademik Kadro,Görsel İletişim Tasarımı (4 Yıllık),İZMİR,37572,SOZ
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KIRŞEHİR,37771,SOZ
GİRESUN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),GİRESUN,38242,SOZ
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KARAMAN,38256,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),İZMİR,38426,SOZ
KİLİS 7 ARALIK ÜNİVERSİTESİ Muallim Rıfat Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KİLİS,38757,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),İZMİR,38836,SOZ
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),TOKAT,39243,SOZ
SİNOP ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),SİNOP,39280,SOZ
KASTAMONU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KASTAMONU,39474,SOZ
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ERZİNCAN,39626,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),İSTANBUL,39701,SOZ
BARTIN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BARTIN,39748,SOZ
RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ Eğitim Fakültesi (Çayeli) Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),RİZE,40000,SOZ
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ANKARA,40235,SOZ
HACETTEPE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,İletişim Bilimleri (4 Yıllık),ANKARA,40266,SOZ
ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ANKARA,40363,SOZ
YOZGAT BOZOK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),YOZGAT,40383,SOZ
AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),AĞRI,40462,SOZ
BALIKESİR ÜNİVERSİTESİ Necatibey Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),BALIKESİR,40602,SOZ
HACETTEPE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,40784,SOZ
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),İSTANBUL,41294,SOZ
ARTVİN ÇORUH ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ARTVİN,41356,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (İÖ) (4 Yıllık),İSTANBUL,41597,SOZ
KAFKAS ÜNİVERSİTESİ Dede Korkut Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KARS,41683,SOZ
BAYBURT ÜNİVERSİTESİ Bayburt Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BAYBURT,42144,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),KONYA,42735,SOZ
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),İZMİR,42815,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),İSTANBUL,43191,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),ÇANAKKALE,43432,SOZ
HAKKARİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),HAKKARİ,43654,SOZ
AKDENİZ ÜNİVERSİTESİ Manavgat Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ANTALYA,43931,SOZ
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),İSTANBUL,44694,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ÇANAKKALE,45032,SOZ
MARMARA ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Film Tasarımı ve Yönetimi (4 Yıllık),İSTANBUL,45066,SOZ
ANKARA ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ANKARA,45303,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BURSA,46753,SOZ
EGE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),İZMİR,46993,SOZ
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İSTANBUL,47367,SOZ
ANADOLU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ESKİŞEHİR,47973,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),KONYA,48391,SOZ
ANKARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),ANKARA,48734,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),ERZURUM,48847,SOZ
MARMARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),İSTANBUL,50068,SOZ
EGE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,"Radyo, Televizyon ve Sinema (4 Yıllık)",İZMİR,50280,SOZ
İSTANBUL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),İSTANBUL,51145,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (M.T.O.K.) (M.T.O.K.) (4 Yıllık),İSTANBUL,51258,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ Sosyal ve Beşeri Bilimler Fakültesi Akademik Kadro,Tarih (İngilizce) (4 Yıllık),ANKARA,51353,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),İZMİR,51508,SOZ
MARMARA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İSTANBUL,52032,SOZ
MERSİN ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),MERSİN,52234,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),BURSA,52424,SOZ
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ANTALYA,52542,SOZ
İSTANBUL ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),İSTANBUL,52584,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),ERZURUM,52897,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),KONYA,52964,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ESKİŞEHİR,53312,SOZ
ÇUKUROVA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ADANA,53503,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),İZMİR,53691,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),DİYARBAKIR,54548,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),DİYARBAKIR,54552,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Coğrafya Öğretmenliği (4 Yıllık),DİYARBAKIR,54723,SOZ
ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ANTALYA,54827,SOZ
ANKARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),ANKARA,56196,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),VAN,56504,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),VAN,56630,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ÇANAKKALE,57165,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İÖ) (4 Yıllık),İSTANBUL,57915,SOZ
ERCİYES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KAYSERİ,58195,SOZ
İSTANBUL ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Sanat Tarihi (4 Yıllık),İSTANBUL,58795,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),SAMSUN,58855,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (İngilizce) (4 Yıllık),İSTANBUL,59234,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),BOLU,59713,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İSTANBUL,59860,SOZ
"İSTANBUL MEDENİYET ÜNİVERSİTESİ Sanat, Tasarım ve Mimarlık Fakültesi Akademik Kadro",Görsel İletişim Tasarımı (4 Yıllık),İSTANBUL,60482,SOZ
İNÖNÜ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),MALATYA,60606,SOZ
GAZİANTEP ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),GAZİANTEP,60651,SOZ
MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İSTANBUL,61958,SOZ
MERSİN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),MERSİN,62460,SOZ
ANKARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),ANKARA,62501,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KONYA,62731,SOZ
BALIKESİR ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),BALIKESİR,63108,SOZ
SÜLEYMAN DEMİREL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ISPARTA,63993,SOZ
EGE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Halkla İlişkiler ve Tanıtım (4 Yıllık),İZMİR,64554,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),ANKARA,64789,SOZ
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Tarih (4 Yıllık),İZMİR,65018,SOZ
PAMUKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),DENİZLİ,65701,SOZ
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),HATAY,66443,SOZ
ANADOLU ÜNİVERSİTESİ İletişim Bilimleri Fakültesi Akademik Kadro,Sinema ve Televizyon (4 Yıllık),ESKİŞEHİR,67033,SOZ
AKDENİZ ÜNİVERSİTESİ Manavgat Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (İÖ) (4 Yıllık),ANTALYA,67722,SOZ
AYDIN ADNAN MENDERES ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),AYDIN,67757,SOZ
SAKARYA ÜNİVERSİTESİ Eğitim Fakültesi (Hendek) Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),SAKARYA,67872,SOZ
BALIKESİR ÜNİVERSİTESİ Necatibey Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BALIKESİR,67894,SOZ
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KAHRAMANMARAŞ,68079,SOZ
PAMUKKALE ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),DENİZLİ,68360,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),MUĞLA,68480,SOZ
MARMARA ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Gazetecilik (4 Yıllık),İSTANBUL,68650,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Film Tasarımı ve Yönetmenliği (4 Yıllık),İZMİR,68910,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),KONYA,69300,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),MUĞLA,69375,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),BOLU,69810,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,Fotoğraf ve Video (4 Yıllık),İSTANBUL,69941,SOZ
KOCAELİ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),KOCAELİ,70198,SOZ
ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ İslami İlimler Fakültesi Akademik Kadro,İslami İlimler (4 Yıllık),ANKARA,70289,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),ANKARA,72162,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),NEVŞEHİR,73763,SOZ
GAZİANTEP ÜNİVERSİTESİ Nizip Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),GAZİANTEP,74356,SOZ
EGE ÜNİVERSİTESİ Edebiyat Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı (4 Yıllık),İZMİR,74676,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),ERZURUM,75998,SOZ
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),TRABZON,76022,SOZ
EGE ÜNİVERSİTESİ İletişim Fakültesi Akademik Kadro,Reklamcılık (4 Yıllık),İZMİR,77031,SOZ
ATATÜRK ÜNİVERSİTESİ Kazım Karabekir Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ERZURUM,77704,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Coğrafya (İngilizce) (4 Yıllık),ANKARA,77772,SOZ
FIRAT ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ELAZIĞ,78746,SOZ
ORDU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),ORDU,79585,SOZ
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KÜTAHYA,79813,SOZ
SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ Turizm Fakültesi (Sapanca) Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),SAKARYA,79888,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Tarih Öğretmenliği (4 Yıllık),DİYARBAKIR,80355,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Gökçeada Uygulamalı Bilimler Yüksekokulu Akademik Kadro,Gastronomi ve Mutfak Sanatları (Yüksekokul) (4 Yıllık),ÇANAKKALE,80873,SOZ
MARMARA ÜNİVERSİTESİ Fen-Edebiyat Fakültesi Akademik Kadro,Coğrafya (4 Yıllık),İSTANBUL,80977,SOZ
KIRIKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),KIRIKKALE,81426,SOZ
MANİSA CELÂL BAYAR ÜNİVERSİTESİ Eğitim Fakültesi (Demirci) Akademik Kadro,Sosyal Bilgiler Öğretmenliği (4 Yıllık),MANİSA,81850,SOZ
ANADOLU ÜNİVERSİTESİ İletişim Bilimleri Fakültesi Akademik Kadro,Halkla İlişkiler ve Reklamcılık (Fakülte) (4 Yıllık),ESKİŞEHİR,82212,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Güzel Sanatlar Fakültesi Akademik Kadro,Çizgi Film ve Animasyon (4 Yıllık),İZMİR,82402,SOZ
