Üniversite,Program Adı Öğretim Süresi,Şehir,2021,Bölüm
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ÇANAKKALE,10233,SOZ
MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),MUĞLA,10321,SOZ
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),BOLU,10379,SOZ
EGE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İZMİR,10607,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İSTANBUL,10858,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),KONYA,11176,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İSTANBUL,11209,SOZ
NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),NEVŞEHİR,11349,SOZ
SAKARYA ÜNİVERSİTESİ Eğitim Fakültesi (Hendek) Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),SAKARYA,11512,SOZ
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İSTANBUL,11950,SOZ
MARMARA ÜNİVERSİTESİ Atatürk Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İSTANBUL,12044,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İSTANBUL,12129,SOZ
TRABZON ÜNİVERSİTESİ Fatih Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),TRABZON,12488,SOZ
ANKARA ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ANKARA,12591,SOZ
TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),TOKAT,12606,SOZ
AKSARAY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),AKSARAY,12629,SOZ
YILDIZ TEKNİK ÜNİVERSİTESİ Sanat ve Tasarım Fakültesi Akademik Kadro,İletişim ve Tasarımı (4 Yıllık),İSTANBUL,12737,SOZ
GAZİ ÜNİVERSİTESİ Gazi Eğitim Fakültesi Akademik Kadro,Türk Dili ve Edebiyatı Öğretmenliği (4 Yıllık),ANKARA,12817,SOZ
UŞAK ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),UŞAK,12936,SOZ
TRAKYA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),EDİRNE,13019,SOZ
AKDENİZ ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ANTALYA,13069,SOZ
DÜZCE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),DÜZCE,13312,SOZ
GİRESUN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),GİRESUN,13419,SOZ
ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ Ereğli Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),ZONGULDAK,13575,SOZ
ANADOLU ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ESKİŞEHİR,13638,SOZ
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),BURDUR,13876,SOZ
MARMARA ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (4 Yıllık),İSTANBUL,13881,SOZ
KIRIKKALE ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Özel Eğitim Öğretmenliği (4 Yıllık),KIRIKKALE,14084,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),DİYARBAKIR,14643,SOZ
DİCLE ÜNİVERSİTESİ Ziya Gökalp Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),DİYARBAKIR,14713,SOZ
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ANTALYA,15069,SOZ
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA Hasan Ali Yücel Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İSTANBUL,15072,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İZMİR,15273,SOZ
DOKUZ EYLÜL ÜNİVERSİTESİ Buca Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İZMİR,15451,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),BURSA,15590,SOZ
BURSA ULUDAĞ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),BURSA,15673,SOZ
AKDENİZ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ANTALYA,16069,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),İSTANBUL,16146,SOZ
ÇUKUROVA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ADANA,16236,SOZ
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),ESKİŞEHİR,16281,SOZ
ÇUKUROVA ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ADANA,16298,SOZ
ONDOKUZ MAYIS ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),SAMSUN,17245,SOZ
ANKARA ÜNİVERSİTESİ Dil ve Tarih Coğrafya Fakültesi Akademik Kadro,Tarih (4 Yıllık),ANKARA,17314,SOZ
MERSİN ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),MERSİN,17533,SOZ
İSTANBUL MEDENİYET ÜNİVERSİTESİ Eğitim Bilimleri Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),İSTANBUL,18025,SOZ
ANADOLU ÜNİVERSİTESİ Turizm Fakültesi Akademik Kadro,Gastronomi ve Mutfak Sanatları (Fakülte) (4 Yıllık),ESKİŞEHİR,18649,SOZ
KOCAELİ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),KOCAELİ,18721,SOZ
İSTANBUL ÜNİVERSİTESİ İlahiyat Fakültesi Akademik Kadro,İlahiyat (İngilizce) (4 Yıllık),İSTANBUL,18797,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),VAN,18857,SOZ
İNÖNÜ ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),MALATYA,19019,SOZ
VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),VAN,19314,SOZ
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ Eğitim Fakültesi Akademik Kadro,Türkçe Öğretmenliği (4 Yıllık),ÇANAKKALE,19331,SOZ
NECMETTİN ERBAKAN ÜNİVERSİTESİ Ahmet Keleşoğlu Eğitim Fakültesi Akademik Kadro,Okul Öncesi Öğretmenliği (4 Yıllık),KONYA,19739,SOZ
